dataset_id	modality	population	primary_role	access	status	key_audit_items
GSE176078	scRNA-seq	26 primary breast cancers	program discovery/reference atlas	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176078	downloaded_audited	100064 cells; 26 patients; 5929 author-annotated macrophages; processed count matrix
SCP1039	scRNA-seq	primary breast cancers	processed atlas mirror	https://singlecell.broadinstitute.org/single_cell/study/SCP1039	candidate	metadata consistency with GSE176078; annotation version
GSE161529	scRNA-seq	normal and breast tumor samples	independent state replication	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161529	downloaded_audited	TNBC microenvironment object; 24467 cells; 8 samples; macrophage-rich cluster independently factorized
GSE246613	scRNA-seq and spatial proteomics	TNBC pembrolizumab plus/minus radiation longitudinal cohort	treatment-response dynamics	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246613	downloaded_audited	342749 CD45-positive cells; 35 patients; 103 patient-timepoints; outcomes withheld during program locking
GSE289825	scRNA-seq	TNBC during neoadjuvant chemotherapy	NAC dynamics	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289825	candidate	patient/timepoint pairing; pCR or RCB; treatment; processed matrix availability
GSE114725	scRNA-seq	CD45-positive cells from breast tumor, normal, blood and lymph node	independent macrophage program replication	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114725	downloaded_audited	47016 cells; 8 patients; all with tumor; 4 with adjacent normal; lineage-gated independent factorization
Zenodo_4739739	spatial transcriptomics	breast cancer sections	spatial discovery/reference	https://doi.org/10.5281/zenodo.4739739	downloaded_audited	6 patients; 15400 retained spots; coordinates and pathology annotations; frozen six-neighbor test completed
Figshare_21591429	spatial transcriptomics	breast cancer sections	independent spatial replication	https://doi.org/10.6084/m9.figshare.21591429	downloaded_audited	8 sections; 18494 retained spots; frozen scores and composition-stratified spatial null completed
Zenodo_14204217	spatial transcriptomics and clinical	94 TNBC patients	large spatial extension and survival boundary test	https://doi.org/10.5281/zenodo.14204217	downloaded_audited	one annotated array per patient; 96706 retained spots; published archetypes and survival endpoints; checksums verified
TCGA_BRCA	bulk RNA-seq and clinical	pan-breast cancer	bulk training or secondary validation	https://portal.gdc.cancer.gov/projects/TCGA-BRCA	candidate	endpoint definitions; treatment; purity; subtype; batch
METABRIC	microarray and clinical	pan-breast cancer	external outcome validation	https://www.cbioportal.org/study/summary?id=brca_metabric	candidate	distant relapse endpoints; platform mapping; missing covariates
SCAN_B	bulk RNA-seq and clinical	population-based breast cancer	external generalization	https://data.mendeley.com/datasets/yzxtxn4nmd	candidate	follow-up; endpoint; subtype; treatment; normalization
GSE194040	bulk expression and clinical	I-SPY2 neoadjuvant trial	pCR/treatment interaction validation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194040	candidate	arm-specific sample size; pretreatment status; pCR; leakage-safe modeling
